,@context,@type,itemCondition,name,modelDate,manufacturer,model,color,imageUrl,brand,description,mileageFromOdometer,sku,vehicleIdentificationNumber,offers,itemListElement
0,https://schema.org,Vehicle,Used,2022 Land Rover Discovery Sport,2022.0,Land Rover,Discovery Sport,White,//cdnblob.fastly.carvana.io/2002295929/post-large/normalized/zoomcrop/2002295929-edc-02.jpg,Land Rover,"Used 2022 Land Rover Discovery Sport SE R-Dynamic with 26872 miles - $42,990",26872.0,2002295929.0,SALCL2FX6NH912217,"{'@type': 'Offer', 'price': 42990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2690661'}",
1,https://schema.org,Vehicle,Used,2021 Lexus UX,2021.0,Lexus,UX,Black,//cdnblob.fastly.carvana.io/2002248605/post-large/normalized/zoomcrop/2002248605-edc-02.jpg,Lexus,"Used 2021 Lexus UX 250h F SPORT with 5966 miles - $39,990",5966.0,2002248605.0,JTHE9JBHXM2041023,"{'@type': 'Offer', 'price': 39990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2661202'}",
2,https://schema.org,Vehicle,Used,2021 Chevrolet Camaro,2021.0,Chevrolet,Camaro,Red,//cdnblob.fastly.carvana.io/2002306378/post-large/normalized/zoomcrop/2002306378-edc-02.jpg,Chevrolet,"Used 2021 Chevrolet Camaro LT1 with 13386 miles - $40,990",13386.0,2002306378.0,1G1FE1R75M0134230,"{'@type': 'Offer', 'price': 40990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2693370'}",
3,https://schema.org,Vehicle,Used,2022 Chrysler Pacifica,2022.0,Chrysler,Pacifica,Gray,//cdnblob.fastly.carvana.io/2002285457/post-large/2002285457-edc-02-search.jpg,Chrysler,"Used 2022 Chrysler Pacifica Limited with 24184 miles - $43,081",24184.0,2002285457.0,2C4RC1GG4NR180572,"{'@type': 'Offer', 'price': 43081, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2681912'}",
4,https://schema.org,Vehicle,Used,2019 Hyundai Veloster,2019.0,Hyundai,Veloster,Red,//cdnblob.fastly.carvana.io/2002294629/post-large/normalized/zoomcrop/2002294629-edc-02.jpg,Hyundai,"Used 2019 Hyundai Veloster N with 29031 miles - $27,990",29031.0,2002294629.0,KMHT36AHXKU002972,"{'@type': 'Offer', 'price': 27990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2692373'}",
5,https://schema.org,Vehicle,Used,2019 Genesis G80,2019.0,Genesis,G80,Red,//cdnblob.fastly.carvana.io/2002275362/post-large/normalized/zoomcrop/2002275362-edc-02.jpg,Genesis,"Used 2019 Genesis G80 3.8 with 23927 miles - $33,990",23927.0,2002275362.0,KMTFN4JE6KU309806,"{'@type': 'Offer', 'price': 33990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2681604'}",
6,https://schema.org,Vehicle,Used,2022 Chrysler Pacifica,2022.0,Chrysler,Pacifica,Black,//cdnblob.fastly.carvana.io/2002298160/post-large/2002298160-edc-02-search.jpg,Chrysler,"Used 2022 Chrysler Pacifica Limited with 28585 miles - $42,890",28585.0,2002298160.0,2C4RC1GG3NR157610,"{'@type': 'Offer', 'price': 42890, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2699474'}",
7,https://schema.org,Vehicle,Used,2020 Kia Soul,2020.0,Kia,Soul,White,//cdnblob.fastly.carvana.io/2002307497/post-large/normalized/zoomcrop/2002307497-edc-02.jpg,Kia,"Used 2020 Kia Soul GT-Line Turbo with 9139 miles - $27,590",9139.0,2002307497.0,KNDJ53AF3L7709043,"{'@type': 'Offer', 'price': 27590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2698750'}",
8,https://schema.org,Vehicle,Used,2019 Chevrolet Corvette,2019.0,Chevrolet,Corvette,Gray,//cdnblob.fastly.carvana.io/2002249260/post-large/normalized/zoomcrop/2002249260-edc-02.jpg,Chevrolet,"Used 2019 Chevrolet Corvette Stingray Z51 with 23232 miles - $55,590",23232.0,2002249260.0,1G1YK2D70K5110979,"{'@type': 'Offer', 'price': 55590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2661006'}",
9,https://schema.org,Vehicle,Used,2020 BMW 5 Series,2020.0,BMW,5 Series,Silver,//cdnblob.fastly.carvana.io/2002324756/post-large/normalized/zoomcrop/2002324756-edc-02.jpg,BMW,"Used 2020 BMW 5 Series 540i with 18409 miles - $42,990",18409.0,2002324756.0,WBAJS1C02LWW78456,"{'@type': 'Offer', 'price': 42990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2709798'}",
