name,modelDate,manufacturer,model,color,imageUrl,brand,description,mileageFromOdometer,sku,vehicleIdentificationNumber,offers,itemListElement
2021 Maserati Levante,2021,Maserati,Levante,White,//cdnblob.fastly.carvana.io/2002115999/post-large/normalized/zoomcrop/2002115999-edc-02.jpg,Maserati,"Used 2021 Maserati Levante S GranLusso with 19722 miles - $61,590",19722,2002115999,ZN661YUL5MX363075,"{'@type': 'Offer', 'price': 61590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2582224'}",
2019 Jeep Compass,2019,Jeep,Compass,Black,//cdnblob.fastly.carvana.io/2002315866/post-large/normalized/zoomcrop/2002315866-edc-02.jpg,Jeep,"Used 2019 Jeep Compass Upland with 21642 miles - $25,990",21642,2002315866,3C4NJDAB9KT854078,"{'@type': 'Offer', 'price': 25990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2699707'}",
2021 Jeep Gladiator,2021,Jeep,Gladiator,White,//cdnblob.fastly.carvana.io/2002283983/post-large/normalized/zoomcrop/2002283983-edc-02.jpg,Jeep,"Used 2021 Jeep Gladiator Mojave 5 ft with 3961 miles - $50,990",3961,2002283983,1C6JJTEG2ML593381,"{'@type': 'Offer', 'price': 50990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2686661'}",
2022 Chevrolet Equinox,2022,Chevrolet,Equinox,White,//cdnblob.fastly.carvana.io/2002276173/post-large/normalized/zoomcrop/2002276173-edc-02.jpg,Chevrolet,"Used 2022 Chevrolet Equinox LS with 1207 miles - $28,990",1207,2002276173,3GNAXHEV8NS214535,"{'@type': 'Offer', 'price': 28990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2677142'}",
2021 Kia Seltos,2021,Kia,Seltos,Black,//cdnblob.fastly.carvana.io/2002305519/post-large/normalized/zoomcrop/2002305519-edc-02.jpg,Kia,"Used 2021 Kia Seltos LX with 19768 miles - $25,990",19768,2002305519,KNDEPCAA1M7180158,"{'@type': 'Offer', 'price': 25990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2691808'}",
2020 Jeep Wrangler,2020,Jeep,Wrangler,White,//cdnblob.fastly.carvana.io/2002336147/post-large/normalized/zoomcrop/2002336147-edc-02.jpg,Jeep,"Used 2020 Jeep Wrangler Sport S with 5993 miles - $37,990",5993,2002336147,1C4GJXAN1LW134547,"{'@type': 'Offer', 'price': 37990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2709015'}",
2018 Toyota 4Runner,2018,Toyota,4Runner,Silver,//cdnblob.fastly.carvana.io/2002045317/post-large/normalized/zoomcrop/2002045317-edc-02.jpg,Toyota,"Used 2018 Toyota 4Runner Limited with 7159 miles - $44,590",7159,2002045317,JTEBU5JR0J5609872,"{'@type': 'Offer', 'price': 44590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2536254'}",
2021 Chevrolet Camaro,2021,Chevrolet,Camaro,Blue,//cdnblob.fastly.carvana.io/2002271187/post-large/normalized/zoomcrop/2002271187-edc-02.jpg,Chevrolet,"Used 2021 Chevrolet Camaro LT with 9474 miles - $34,590",9474,2002271187,1G1FB1RS2M0102218,"{'@type': 'Offer', 'price': 34590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2673770'}",
2021 Toyota Highlander Hybrid,2021,Toyota,Highlander Hybrid,Gray,//cdnblob.fastly.carvana.io/2002237690/post-large/normalized/zoomcrop/2002237690-edc-02.jpg,Toyota,"Used 2021 Toyota Highlander Hybrid XLE with 29545 miles - $44,990",29545,2002237690,5TDHARAH1MS504651,"{'@type': 'Offer', 'price': 44990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2651564'}",
2021 Hyundai Venue,2021,Hyundai,Venue,White,//cdnblob.fastly.carvana.io/2002304029/post-large/normalized/zoomcrop/2002304029-edc-02.jpg,Hyundai,"Used 2021 Hyundai Venue SE with 9738 miles - $23,590",9738,2002304029,KMHRB8A3XMU108757,"{'@type': 'Offer', 'price': 23590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2690843'}",
2022 Nissan Frontier Crew Cab,2022,Nissan,Frontier Crew Cab,White,//cdnblob.fastly.carvana.io/2002276366/post-large/normalized/zoomcrop/2002276366-edc-02.jpg,Nissan,"Used 2022 Nissan Frontier Crew Cab S 5 ft with 2947 miles - $34,990",2947,2002276366,1N6ED1EK4NN654002,"{'@type': 'Offer', 'price': 34990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2678266'}",
2019 Mercedes-Benz GLA,2019,Mercedes-Benz,GLA,Blue,//cdnblob.fastly.carvana.io/2002312513/post-large/normalized/zoomcrop/2002312513-edc-02.jpg,Mercedes-Benz,"Used 2019 Mercedes-Benz GLA GLA 250 4MATIC with 16467 miles - $33,990",16467,2002312513,WDCTG4GB4KJ635477,"{'@type': 'Offer', 'price': 33990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2698526'}",
2020 Ford Edge,2020,Ford,Edge,Gray,//cdnblob.fastly.carvana.io/2002223723/post-large/normalized/zoomcrop/2002223723-edc-02.jpg,Ford,"Used 2020 Ford Edge ST with 5314 miles - $38,590",5314,2002223723,2FMPK4AP4LBA14400,"{'@type': 'Offer', 'price': 38590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2645937'}",
2022 Subaru Impreza,2022,Subaru,Impreza,Silver,//cdnblob.fastly.carvana.io/2002296424/post-large/normalized/zoomcrop/2002296424-edc-02.jpg,Subaru,"Used 2022 Subaru Impreza base with 22438 miles - $23,990",22438,2002296424,4S3GTAB60N3702970,"{'@type': 'Offer', 'price': 23990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2689037'}",
2020 Volkswagen Passat,2020,Volkswagen,Passat,Blue,//cdnblob.fastly.carvana.io/2002302358/post-large/normalized/zoomcrop/2002302358-edc-02.jpg,Volkswagen,"Used 2020 Volkswagen Passat S with 11858 miles - $24,990",11858,2002302358,1VWAA7A30LC001684,"{'@type': 'Offer', 'price': 24990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2689675'}",
2022 Kia Carnival,2022,Kia,Carnival,Gray,//cdnblob.fastly.carvana.io/2002305381/post-large/normalized/zoomcrop/2002305381-edc-02.jpg,Kia,"Used 2022 Kia Carnival LX w/Seat Pkg with 11825 miles - $40,990",11825,2002305381,KNDNB4H35N6155945,"{'@type': 'Offer', 'price': 40990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2698768'}",
2019 Jaguar E-PACE,2019,Jaguar,E-PACE,Silver,//cdnblob.fastly.carvana.io/2002305858/post-large/normalized/zoomcrop/2002305858-edc-02.jpg,Jaguar,"Used 2019 Jaguar E-PACE P250 S with 16192 miles - $35,590",16192,2002305858,SADFJ2FX5K1Z47057,"{'@type': 'Offer', 'price': 35590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2691809'}",
2020 Kia Soul,2020,Kia,Soul,Orange,//cdnblob.fastly.carvana.io/2002293264/post-large/normalized/zoomcrop/2002293264-edc-02.jpg,Kia,"Used 2020 Kia Soul LX with 20753 miles - $21,590",20753,2002293264,KNDJ23AU7L7021778,"{'@type': 'Offer', 'price': 21590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2684085'}",
2022 Hyundai Venue,2022,Hyundai,Venue,White,//cdnblob.fastly.carvana.io/2002214006/post-large/normalized/zoomcrop/2002214006-edc-02.jpg,Hyundai,"Used 2022 Hyundai Venue SEL with 1690 miles - $23,990",1690,2002214006,KMHRC8A34NU208917,"{'@type': 'Offer', 'price': 23990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2644975'}",
2020 Honda Insight,2020,Honda,Insight,Blue,//cdnblob.fastly.carvana.io/2002282047/post-large/normalized/zoomcrop/2002282047-edc-02.jpg,Honda,"Used 2020 Honda Insight Touring with 19531 miles - $29,590",19531,2002282047,19XZE4F92LE004830,"{'@type': 'Offer', 'price': 29590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2691813'}",
2022 Toyota Tundra CrewMax,2022,Toyota,Tundra CrewMax,Green,//cdnblob.fastly.carvana.io/2002265651/post-large/normalized/zoomcrop/2002265651-edc-02.jpg,Toyota,"Used 2022 Toyota Tundra CrewMax SR5 5 1/2 ft with 2985 miles - $49,590",2985,2002265651,5TFLA5AB2NX002516,"{'@type': 'Offer', 'price': 49590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2674695'}",
2021 Buick Encore GX,2021,Buick,Encore GX,Gray,//cdnblob.fastly.carvana.io/2002267527/post-large/2002267527-edc-02-search.jpg,Buick,"Used 2021 Buick Encore GX Select with 27287 miles - $22,990",27287,2002267527,KL4MMDSL8MB160250,"{'@type': 'Offer', 'price': 22990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2680630'}",
2020 Mercedes-Benz GLB,2020,Mercedes-Benz,GLB,White,//cdnblob.fastly.carvana.io/2002326645/post-large/normalized/zoomcrop/2002326645-edc-02.jpg,Mercedes-Benz,"Used 2020 Mercedes-Benz GLB GLB 250 4MATIC with 29256 miles - $37,590",29256,2002326645,WDC4M4HB6LW012412,"{'@type': 'Offer', 'price': 37590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2708291'}",
2019 Hyundai Sonata,2019,Hyundai,Sonata,Silver,//cdnblob.fastly.carvana.io/2002307727/post-large/normalized/zoomcrop/2002307727-edc-02.jpg,Hyundai,"Used 2019 Hyundai Sonata Limited with 15462 miles - $25,590",15462,2002307727,5NPE34AF2KH818052,"{'@type': 'Offer', 'price': 25590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2702871'}",
2022 Dodge Charger,2022,Dodge,Charger,Blue,//cdnblob.fastly.carvana.io/2002281275/post-large/normalized/zoomcrop/2002281275-edc-02.jpg,Dodge,"Used 2022 Dodge Charger GT with 12815 miles - $35,590",12815,2002281275,2C3CDXHG4NH114456,"{'@type': 'Offer', 'price': 35590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2677412'}",
2022 Volvo XC60,2022,Volvo,XC60,White,//cdnblob.fastly.carvana.io/2001918405/post-large/2001918405-edc-02-search.jpg,Volvo,"Used 2022 Volvo XC60 B5 Momentum with 4387 miles - $38,990",4387,2001918405,YV4L12RK1N1951929,"{'@type': 'Offer', 'price': 38990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2460597'}",
